strain,ratio
JB1110,0.047082031425585306
JB1117,0.08820661545158263
JB1154,0.035729312265582805
JB1171,0.033613919772370715
JB1174,0.03475274683769556
JB1180,0.09434589376013104
JB1197,0.06847342131600409
JB1205,0.313600004018476
JB1206,0.045130399259876594
JB1207,0.45194148696099157
JB22,0.02267481742239179
JB4,0.01734692304504924
JB50,0.028596275216406824
JB758,0.03414497583847757
JB759,0.024751661709219833
JB760,0.03532548475925664
JB762,0.04716873607363622
JB837,0.0326270241195904
JB838,0.1845567821467756
JB840,0.028836308554733528
JB841,0.08464431510262894
JB842,0.1479175300286772
JB845,0.016182110840546632
JB846,0.019308260197457794
JB848,0.025199638868136944
JB852,0.03660350581800177
JB853,0.08198775397133375
JB854,0.030556512936319735
JB858,0.07866862265493237
JB862,0.028131150211960554
JB864,0.08613230147909351
JB869,0.019467929249309488
JB870,0.01787310101719295
JB871,0.9944409422054797
JB872,0.02691163996574951
JB873,0.024056117653330846
JB874,0.05552056221818726
JB875,0.014840888833607038
JB878,0.0178005711801059
JB879,0.015746377453655855
JB884,0.012120243265253045
JB899,0.006132109488229927
JB900,0.013579926223961
JB902,0.009503078692124616
JB910,0.10823196978518791
JB913,0.09410502787909931
JB914,0.9811810882732459
JB916,0.02348410463784059
JB917,0.014687901092103103
JB918,0.01389178131808239
JB929,0.027205005014277677
JB930,0.021306625294860784
JB931,0.009323110610918077
JB934,0.010237433509782987
JB938,0.024120536972055878
JB939,0.02049691278586078
JB942,0.047910691955530514
JB943,0.030321188003792784
JB953,0.32909814876927346
