,Strain,%flocc
0,X968,0.08131933836666667
1,Y0036,0.44941094940000004
2,R1_1,0.10436907494666668
3,R1_10,0.053251733063333334
4,R1_11,0.06330961503333334
5,R1_12,0.8675385302333334
6,R1_13,0.021799305416666664
7,R1_14,0.04955331742
8,R1_15,0.031385034113333335
9,R1_16,0.023788303469999997
10,R1_17,0.18433506756666665
11,R1_18,0.4449320050666667
12,R1_19,0.028229263626666667
13,R1_2,0.1796638267
14,R1_20,0.02529942737
15,R1_21,0.06968265378
16,R1_22,0.02672291349
17,R1_23,0.03737014845666666
18,R1_24,0.4959049959333333
19,R1_25,0.024313178343333335
20,R1_26,0.02294282569
21,R1_27,0.03466734774
22,R1_28,0.026347794933333335
23,R1_29,0.04092219834
24,R1_3,0.05405447290333334
25,R1_30,0.021091265940000003
26,R1_31,0.03332600297
27,R1_32,0.027359879873333336
28,R1_33,0.020752541956666665
29,R1_34,0.03671171671666667
30,R1_35,0.03332461841666667
31,R1_36,0.4988408668666667
32,R1_37,0.028193230173333333
33,R1_38,0.027577830940000003
34,R1_39,0.20928184279999998
35,R1_4,0.9584727419
36,R1_40,0.27805210891666665
37,R1_41,0.02295753093333333
38,R1_42,0.04901950085666667
39,R1_43,0.08260247899333334
40,R1_44,0.05482666711333334
41,R1_45,0.9894944868666666
42,R1_46,0.02570907301
43,R1_47,0.13685394456666666
44,R1_48,0.07274203151
45,R1_49,0.10536866761333334
46,R1_5,0.21949221950333334
47,R1_50,0.3267973856333333
48,R1_51,0.4128205128333333
49,R1_52,0.8910835804333334
50,R1_53,0.06482597054666667
51,R1_54,0.9583286225666666
52,R1_6,0.03317768791333333
53,R1_7,0.9652700151666666
54,R1_8,0.11201550386666666
55,R1_9,0.031571226546666664
