,strain,ratio
0,X968,0.04792961449825423
1,Y0036,0.17211901296104828
2,R1_1,0.05424672131301203
3,R1_10,0.028066070657310906
4,R1_11,0.040438328989677745
5,R1_12,0.4218315789315247
6,R1_13,0.03981125929233834
7,R1_14,0.04270691639307598
8,R1_15,0.02953731247271805
9,R1_16,0.023504219883160156
10,R1_17,0.025862953791664985
11,R1_18,0.15161142590011134
12,R1_19,0.046442623011419853
13,R1_2,0.06136918976412084
14,R1_20,0.035152042221646654
15,R1_21,0.04302314167772988
16,R1_22,0.01935022316058009
17,R1_23,0.03465365978498257
18,R1_24,0.07820916924553935
19,R1_25,0.03867661000978789
20,R1_26,0.0308040712049918
21,R1_27,0.03847828832496858
22,R1_28,0.015524564810283126
23,R1_29,0.019658399906778385
24,R1_3,0.03305460827239198
25,R1_30,0.020796990699792392
26,R1_31,0.04110146328349899
27,R1_32,0.028580713631372677
28,R1_33,0.01606593223330982
29,R1_34,0.48002559560422164
30,R1_35,0.06655647987952167
31,R1_36,0.51668745751028
32,R1_37,0.031920317422046
33,R1_38,0.025813637900660484
34,R1_39,0.3639998494877539
35,R1_4,1.0195479406614734
36,R1_40,0.03628014595674614
37,R1_41,0.01420179614600963
38,R1_42,0.07355601946827026
39,R1_43,0.0589994666076297
40,R1_44,0.03894956510551302
41,R1_45,1.0099839053687296
42,R1_46,0.01745473106307939
43,R1_47,0.09964127288662496
44,R1_48,0.021857984830674387
45,R1_49,0.13376842976889974
46,R1_5,0.06193406526978192
47,R1_50,0.4026898224727617
48,R1_51,0.8682838827439461
49,R1_52,0.5344454360010598
50,R1_53,0.01839677633302319
51,R1_54,1.0243401331859134
52,R1_6,0.03644705837929973
53,R1_7,1.0203307447291772
54,R1_8,0.047119592489801784
55,R1_9,0.0342675177048232
